"Date","Open","High","Low","Close","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","h12","h13","h14","h15"
"2019-08-07",55.84,57.18,55.79,57.09,58.6,58.4,57.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-08-08",57.39,58.21,57.39,58.17,58.6,58.4,57.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-08-09",57.96,58.05,57.42,57.74,58.6,58.4,57.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-08-12",57.65,57.71,56.72,56.81,58.6,58.4,57.9,57.2,56.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-08-13",56.88,58.15,56.55,57.45,58.6,58.4,57.9,57.2,56.9,56.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-08-14",56.6,56.84,55.57,55.64,58.6,58.4,57.9,57.2,56.9,56.6,56.4,NA,NA,NA,NA,NA,NA,NA,NA
"2019-08-15",55.93,55.94,55.24,55.64,58.6,58.4,57.9,57.2,56.9,56.6,56.4,NA,NA,NA,NA,NA,NA,NA,NA
"2019-08-16",55.88,56.75,55.81,56.63,58.6,58.4,57.9,57.2,56.9,56.6,56.4,NA,NA,NA,NA,NA,NA,NA,NA
"2019-08-19",57.12,57.28,56.97,57.04,58.6,58.4,57.9,57.2,56.9,56.6,56.4,NA,NA,NA,NA,NA,NA,NA,NA
"2019-08-20",56.83,56.89,56.36,56.4,58.6,58.4,57.9,57.2,56.9,56.6,56.4,NA,NA,NA,NA,NA,NA,NA,NA
"2019-08-21",56.78,56.91,56.59,56.68,58.6,58.4,57.9,57.2,56.9,56.6,56.4,NA,NA,NA,NA,NA,NA,NA,NA
"2019-08-22",56.8,57.06,56.17,56.31,58.6,58.4,57.9,57.2,56.9,56.6,56.4,NA,NA,NA,NA,NA,NA,NA,NA
"2019-08-23",56.06,56.3,54.68,54.95,58.6,58.4,57.9,57.2,56.9,56.6,56.4,NA,NA,NA,NA,NA,NA,NA,NA
"2019-08-26",55.4,55.48,54.87,55.12,58.6,58.4,57.9,57.2,56.9,56.6,56.4,NA,NA,NA,NA,NA,NA,NA,NA
"2019-08-27",55.34,55.68,55.02,55.15,58.6,58.4,57.9,57.2,56.9,56.6,56.4,NA,NA,NA,NA,NA,NA,NA,NA
"2019-08-28",54.99,55.72,54.83,55.61,58.6,58.4,57.9,57.2,56.9,56.6,56.4,NA,NA,NA,NA,NA,NA,NA,NA
"2019-08-29",56.29,56.56,56.2,56.32,58.6,58.4,57.9,57.2,56.9,56.6,56.4,NA,NA,NA,NA,NA,NA,NA,NA
"2019-08-30",56.76,56.98,56.5,56.66,58.6,58.4,57.9,57.2,56.9,56.6,56.4,NA,NA,NA,NA,NA,NA,NA,NA
"2019-09-03",56.25,56.37,55.86,56.27,58.6,58.4,57.9,57.2,56.9,56.6,56.4,NA,NA,NA,NA,NA,NA,NA,NA
"2019-09-04",56.74,56.97,56.56,56.88,58.6,58.4,57.9,57.2,56.9,56.6,56.4,NA,NA,NA,NA,NA,NA,NA,56.9
"2019-09-05",57.34,57.55,56.97,57,58.6,58.4,57.9,57.2,56.9,56.6,56.4,NA,NA,NA,NA,NA,NA,57.1,56.9
"2019-09-06",57.13,57.39,56.89,57.25,58.6,58.4,57.9,57.2,56.9,56.6,56.4,NA,NA,NA,NA,NA,NA,57.1,56.9
"2019-09-09",57.36,57.39,56.83,56.96,58.6,58.4,57.9,57.2,56.9,56.6,56.4,NA,NA,NA,NA,NA,NA,57.1,56.9
"2019-09-10",56.89,57.51,56.79,57.51,58.6,58.4,57.9,57.2,56.9,56.6,56.4,NA,NA,NA,57.5,NA,NA,57.1,56.9
"2019-09-11",57.63,58.08,57.24,58.06,58.6,58.4,57.9,57.2,56.9,56.6,56.4,NA,NA,57.9,57.5,57.6,57.7,57.1,56.9
"2019-09-12",58.45,58.74,58.06,58.5,58.6,58.4,57.9,57.2,56.9,56.6,56.4,NA,NA,57.9,57.5,57.6,57.7,57.1,56.9
"2019-09-13",58.87,59.32,58.81,59.15,58.6,58.4,57.9,57.2,56.9,56.6,56.4,NA,NA,57.9,57.5,57.6,57.7,57.1,56.9
"2019-09-16",58.96,59.06,58.11,58.18,58.6,58.4,57.9,57.2,56.9,56.6,56.4,NA,NA,57.9,57.5,57.6,57.7,57.1,56.9
"2019-09-17",58.14,58.76,57.96,58.63,58.6,58.4,57.9,57.2,56.9,56.6,56.4,NA,NA,57.9,57.5,57.6,57.7,57.1,56.9
"2019-09-18",58.66,58.76,58.14,58.67,58.6,58.4,57.9,57.2,56.9,56.6,56.4,NA,NA,57.9,57.5,57.6,57.7,57.1,56.9
"2019-09-19",58.81,59.11,58.66,58.75,58.6,58.4,57.9,57.2,56.9,56.6,56.4,NA,NA,57.9,57.5,57.6,57.7,57.1,56.9
"2019-09-20",58.69,58.8,58.08,58.35,58.6,58.4,57.9,57.2,56.9,56.6,56.4,NA,NA,57.9,57.5,57.6,57.7,57.1,56.9
"2019-09-23",57.94,58.38,57.93,58.22,58.6,58.4,57.9,57.2,56.9,56.6,56.4,NA,NA,57.9,57.5,57.6,57.7,57.1,56.9
"2019-09-24",58.32,58.45,57.52,57.69,58.6,58.4,57.9,57.2,56.9,56.6,56.4,NA,NA,57.9,57.5,57.6,57.7,57.1,56.9
"2019-09-25",57.7,58.11,57.45,58,58.6,58.4,57.9,57.2,56.9,56.6,56.4,NA,NA,57.9,57.5,57.6,57.7,57.1,56.9
"2019-09-26",58.07,58.1,57.61,57.89,58.6,58.4,57.9,57.2,56.9,56.6,56.4,NA,NA,57.9,57.5,57.6,57.7,57.1,56.9
"2019-09-27",57.96,58.21,57.48,57.73,58.6,58.4,57.9,57.2,56.9,56.6,56.4,57.5,NA,57.9,57.5,57.6,57.7,57.1,56.9
"2019-09-30",57.74,58.31,57.73,58.17,58.6,58.4,57.9,57.2,56.9,56.6,56.4,57.5,NA,57.9,57.5,57.6,57.7,57.1,56.9
"2019-10-01",58.29,58.49,56.82,56.84,58.6,58.4,57.9,57.2,56.9,56.6,56.4,57.5,NA,57.9,57.5,57.6,57.7,57.1,56.9
"2019-10-02",56.28,56.38,55.28,55.79,58.6,58.4,57.9,57.2,56.9,56.6,56.4,57.5,55.6,57.9,57.5,57.6,57.7,57.1,56.9
"2019-10-03",55.67,56.02,55.1,56.02,58.6,58.4,57.9,57.2,56.9,56.6,56.4,57.5,55.6,57.9,57.5,57.6,57.7,57.1,56.9
"2019-10-04",56.05,56.44,56,56.3,58.6,58.4,57.9,57.2,56.9,56.6,56.4,57.5,55.6,57.9,57.5,57.6,57.7,57.1,56.9
"2019-10-07",56.16,56.69,55.94,56.12,58.6,58.4,57.9,57.2,56.9,56.6,56.4,57.5,55.6,57.9,57.5,57.6,57.7,57.1,56.9
"2019-10-08",55.71,55.75,55.11,55.14,58.6,58.4,57.9,57.2,56.9,56.6,56.4,57.5,55.6,57.9,57.5,57.6,57.7,57.1,56.9
"2019-10-09",55.67,55.95,55.36,55.74,58.6,58.4,57.9,57.2,56.9,56.6,56.4,57.5,55.6,57.9,57.5,57.6,57.7,57.1,56.9
"2019-10-10",55.93,56.53,55.78,56.27,58.6,58.4,57.9,57.2,56.9,56.6,56.4,57.5,55.6,57.9,57.5,57.6,57.7,57.1,56.9
"2019-10-11",56.93,57.88,56.86,57.34,58.6,58.4,57.9,57.2,56.9,56.6,56.4,57.5,55.6,57.9,57.5,57.6,57.7,57.1,56.9
"2019-10-14",57.15,57.3,56.91,56.93,58.6,58.4,57.9,57.2,56.9,56.6,56.4,57.5,55.6,57.9,57.5,57.6,57.7,57.1,56.9
"2019-10-15",57.23,57.62,57.04,57.31,58.6,58.4,57.9,57.2,56.9,56.6,56.4,57.5,55.6,57.9,57.5,57.6,57.7,57.1,56.9
"2019-10-16",57.35,57.88,57.31,57.47,58.6,58.4,57.9,57.2,56.9,56.6,56.4,57.5,55.6,57.9,57.5,57.6,57.7,57.1,56.9
"2019-10-17",57.74,58.05,57.51,57.59,58.6,58.4,57.9,57.2,56.9,56.6,56.4,57.5,55.6,57.9,57.5,57.6,57.7,57.1,56.9
"2019-10-18",57.46,57.76,57.28,57.51,58.6,58.4,57.9,57.2,56.9,56.6,56.4,57.5,55.6,57.9,57.5,57.6,57.7,57.1,56.9
"2019-10-21",57.77,57.95,57.32,57.33,58.6,58.4,57.9,57.2,56.9,56.6,56.4,57.5,55.6,57.9,57.5,57.6,57.7,57.1,56.9
"2019-10-22",57.29,57.48,56.84,57.1,58.6,58.4,57.9,57.2,56.9,56.6,56.4,57.5,55.6,57.9,57.5,57.6,57.7,57.1,56.9
"2019-10-23",57.3,57.7,57.24,57.47,58.6,58.4,57.9,57.2,56.9,56.6,56.4,57.5,55.6,57.9,57.5,57.6,57.7,57.1,56.9
"2019-10-24",57.67,57.99,57.32,57.64,58.6,58.4,57.9,57.2,56.9,56.6,56.4,57.5,55.6,57.9,57.5,57.6,57.7,57.1,56.9
"2019-10-25",57.64,58.4,57.58,58.25,58.6,58.4,57.9,57.2,56.9,56.6,56.4,57.5,55.6,57.9,57.5,57.6,57.7,57.1,56.9
"2019-10-28",58.49,58.74,58.25,58.42,58.6,58.4,57.9,57.2,56.9,56.6,56.4,57.5,55.6,57.9,57.5,57.6,57.7,57.1,56.9
"2019-10-29",58.18,59.07,58.04,58.81,58.6,58.4,57.9,57.2,56.9,56.6,56.4,57.5,55.6,57.9,57.5,57.6,57.7,57.1,56.9
"2019-10-30",58.62,58.94,58.34,58.84,58.6,58.4,57.9,57.2,56.9,56.6,56.4,57.5,55.6,57.9,57.5,57.6,57.7,57.1,56.9
"2019-10-31",58.78,58.9,57.87,58.17,58.6,58.4,57.9,57.2,56.9,56.6,56.4,57.5,55.6,57.9,57.5,57.6,57.7,57.1,56.9
"2019-11-01",58.49,59.01,58.43,59,58.6,58.4,57.9,57.2,56.9,56.6,56.4,57.5,55.6,57.9,57.5,57.6,57.7,57.1,56.9
"2019-11-04",59.45,59.59,59.15,59.46,58.6,58.4,57.9,57.2,56.9,56.6,56.4,57.5,55.6,57.9,57.5,57.6,57.7,57.1,56.9
"2019-11-05",59.45,59.9,59.33,59.6,58.6,58.4,57.9,57.2,56.9,56.6,56.4,57.5,55.6,57.9,57.5,57.6,57.7,57.1,56.9
"2019-11-06",59.52,59.69,59.31,59.54,58.6,58.4,57.9,57.2,56.9,56.6,56.4,57.5,55.6,57.9,57.5,57.6,57.7,57.1,56.9
"2019-11-07",59.86,59.99,59.7,59.94,58.6,58.4,57.9,57.2,56.9,56.6,56.4,57.5,55.6,57.9,57.5,57.6,57.7,57.1,56.9
"2019-11-08",59.8,60.18,59.75,60.17,58.6,58.4,57.9,57.2,56.9,56.6,56.4,57.5,55.6,57.9,57.5,57.6,57.7,57.1,56.9
"2019-11-11",59.85,60.15,59.74,60.09,58.6,58.4,57.9,57.2,56.9,56.6,56.4,57.5,55.6,57.9,57.5,57.6,57.7,57.1,56.9
"2019-11-12",60.27,60.6,60.08,60.37,58.6,58.4,57.9,57.2,56.9,56.6,56.4,57.5,55.6,57.9,57.5,57.6,57.7,57.1,56.9
"2019-11-13",60.14,60.36,59.92,60.07,58.6,58.4,57.9,57.2,56.9,56.6,56.4,57.5,55.6,57.9,57.5,57.6,57.7,57.1,56.9
"2019-11-14",59.9,60.46,59.87,60.41,58.6,58.4,57.9,57.2,56.9,56.6,56.4,57.5,55.6,57.9,57.5,57.6,57.7,57.1,56.9
"2019-11-15",60.71,60.81,60.2,60.34,58.6,58.4,57.9,57.2,56.9,56.6,56.4,57.5,55.6,57.9,57.5,57.6,57.7,57.1,56.9
"2019-11-18",60.11,60.39,60.04,60.22,58.6,58.4,57.9,57.2,56.9,56.6,56.4,57.5,55.6,57.9,57.5,57.6,57.7,57.1,56.9
"2019-11-19",60.47,60.47,59.88,60.05,58.6,58.4,57.9,57.2,56.9,56.6,56.4,57.5,55.6,57.9,57.5,57.6,57.7,57.1,56.9
"2019-11-20",59.85,59.96,59.26,59.34,58.6,58.4,57.9,57.2,56.9,56.6,56.4,57.5,55.6,57.9,57.5,57.6,57.7,57.1,56.9
"2019-11-21",59.31,59.4,59.07,59.26,58.6,58.4,57.9,57.2,56.9,56.6,56.4,57.5,55.6,57.9,57.5,57.6,57.7,57.1,56.9
"2019-11-22",59.37,59.59,59.26,59.33,58.6,58.4,57.9,57.2,56.9,56.6,56.4,57.5,55.6,57.9,57.5,57.6,57.7,57.1,56.9
